ID,Scanner,Volume,Area,3D_model
CTC_763,Artec.Micro,341.22,424.31,TRUE
CTC_764,Artec.Micro,30.98,119.81,TRUE
CTC_765,Artec.Spider,7763.32,3049.82,TRUE
CTC_766,Artec.Spider,2561.76,1349.19,TRUE
CTC_767,Artec.Spider,1335.87,900.37,TRUE
CTC_768,Artec.Spider,2689.93,1287.52,TRUE
CTC_769,Artec.Spider,1221.6,809.35,TRUE
CTC_77,Artec.Spider,2057.48,1302.73,TRUE
CTC_770,Artec.Spider,1546.72,916.56,TRUE
CTC_771,Artec.Spider,2839.32,1275.56,TRUE
CTC_772,Artec.Spider,1633.6,959.33,TRUE
CTC_773,Artec.Spider,1216.39,815.99,TRUE
CTC_774,Artec.Spider,1080.26,732.24,TRUE
CTC_775,Artec.Spider,1596.95,979.48,TRUE
CTC_776,Artec.Spider,1389.38,954.87,TRUE
CTC_779,Artec.Spider,10334.44,3108.95,TRUE
CTC_78,Artec.Spider,2099.5,1115.01,TRUE
CTC_780,Artec.Spider,5081.02,2241.83,TRUE
CTC_782,Artec.Spider,1727.01,1216.07,TRUE
CTC_784,Artec.Spider,1424.42,1006.89,TRUE
CTC_785,Artec.Spider,12383.21,3976.27,TRUE
CTC_788,Artec.Spider,23261.54,5563.46,TRUE
CTC_789,Artec.Spider,2985.84,1440.92,TRUE
CTC_79,Artec.Spider,1133.75,696.33,TRUE
CTC_790,Artec.Spider,1263.11,868.36,TRUE
CTC_791,Artec.Spider,2747.84,1591.66,TRUE
CTC_792,Artec.Spider,1828.83,1141.24,TRUE
CTC_793,Artec.Spider,3612.97,1717.13,TRUE
CTC_794,Artec.Spider,2972.14,1453.79,TRUE
CTC_795,Artec.Spider,3044.37,1410.62,TRUE
CTC_796,Artec.Spider,3381,1652.19,TRUE
CTC_797,Artec.Spider,3784.1,1839.37,TRUE
CTC_798,Artec.Spider,6036.86,2205.09,TRUE
CTC_799,Artec.Spider,1793.05,973.65,TRUE
CTC_8,Artec.Spider,3143.5,1433.66,TRUE
CTC_800,Artec.Spider,10267.41,3330.31,TRUE
CTC_801,Artec.Spider,7966.67,2624.11,TRUE
CTC_802,Artec.Spider,12802.42,3631.72,TRUE
CTC_803,Artec.Spider,7159.61,2523.39,TRUE
CTC_804,Artec.Spider,2608.83,1171.12,TRUE
CTC_805,Artec.Micro,11.43,40.79,TRUE
CTC_806,Artec.Micro,80.3,164.7,TRUE
CTC_808,Artec.Micro,116.23,226.8,TRUE
CTC_809,Artec.Micro,37.84,103.84,TRUE
CTC_81,Artec.Spider,15094.65,4738.77,TRUE
CTC_810,Artec.Micro,21.93,68.73,TRUE
CTC_813,Artec.Micro,14.21,49.47,TRUE
CTC_814,Artec.Micro,77.87,169.44,TRUE
CTC_815,Artec.Micro,37.76,107.74,TRUE
CTC_817,Artec.Micro,20.92,71.08,TRUE
CTC_818,Artec.Micro,50.75,123.3,TRUE
CTC_82,Artec.Spider,2786.04,1721.77,TRUE
CTC_822,Artec.Micro,25.25,70.3,TRUE
CTC_824,Artec.Micro,97.98,205.24,TRUE
CTC_827,Artec.Micro,26.83,73.42,TRUE
CTC_829,Artec.Micro,28.52,80.43,TRUE
CTC_83,Artec.Spider,1061.18,888.78,TRUE
CTC_830,Artec.Micro,35.8,85.1,TRUE
CTC_832,Artec.Micro,18.69,57.23,TRUE
CTC_835,Artec.Micro,13.73,51.96,TRUE
CTC_836,Artec.Micro,15.28,59.75,TRUE
CTC_839,Artec.Micro,25.57,74.29,TRUE
CTC_84,Artec.Spider,894.98,1199.95,TRUE
CTC_840,Artec.Micro,28.22,77.19,TRUE
CTC_841,Artec.Micro,17.76,56.58,TRUE
CTC_842,Artec.Micro,17.94,54.77,TRUE
CTC_843,Artec.Micro,40.22,106.37,TRUE
CTC_844,Artec.Micro,158.4,274.77,TRUE
CTC_846,Artec.Micro,35.04,81.46,TRUE
CTC_847,Artec.Micro,22.75,67.35,TRUE
CTC_848,Artec.Micro,20.28,64.02,TRUE
CTC_849,Artec.Micro,30.42,87.43,TRUE
CTC_851,Artec.Micro,14.08,45.37,TRUE
CTC_852,Artec.Micro,43.8,128.72,TRUE
CTC_854,Artec.Micro,68.49,147.4,TRUE
CTC_855,Artec.Micro,15.53,55.04,TRUE
CTC_856,Artec.Micro,19.8,60.34,TRUE
CTC_857,Artec.Micro,44.21,145.47,TRUE
CTC_858,Artec.Micro,59.22,135.48,TRUE
CTC_859,Artec.Micro,94.58,209.05,TRUE
CTC_86,Artec.Spider,3966.76,2110.47,TRUE
CTC_860,Artec.Micro,21.08,61.62,TRUE
CTC_861,Artec.Micro,23.39,69.73,TRUE
CTC_862,Artec.Micro,26.42,76.36,TRUE
CTC_879,Artec.Micro,83.8,173.17,TRUE
CTC_88,Artec.Spider,17205.27,5158.23,TRUE
CTC_89,Artec.Spider,7899.68,2847.47,TRUE
CTC_9,Artec.Spider,2848.42,1293.69,TRUE
CTC_90,Artec.Spider,6243.55,2857.62,TRUE
CTC_902,Artec.Micro,158.87,296.64,TRUE
CTC_903,Artec.Micro,46.59,112.85,TRUE
CTC_904,Artec.Micro,102.49,199.55,TRUE
CTC_905,Artec.Micro,133.31,232.24,TRUE
CTC_906,Artec.Micro,64.63,153.7,TRUE
CTC_907,Artec.Micro,92.87,172.66,TRUE
CTC_908,Artec.Micro,36.99,95.55,TRUE
CTC_909,Artec.Micro,67.28,157.01,TRUE
CTC_910,Artec.Micro,29.37,85.74,TRUE
CTC_911,Artec.Micro,55.93,123.54,TRUE
CTC_912,Artec.Micro,9.99,37.93,TRUE
CTC_913,Artec.Micro,13.8,55.4,TRUE
CTC_914,Artec.Micro,16.17,52.43,TRUE
CTC_915,Artec.Micro,34.24,90.93,TRUE
CTC_92,Artec.Spider,14444.59,4225.6,TRUE
CTC_920,Artec.Micro,45.14,139.55,TRUE
CTC_921,Artec.Micro,189.9,354.92,TRUE
CTC_922,Artec.Micro,37.56,82.64,TRUE
CTC_923,Artec.Micro,70,142.59,TRUE
CTC_924,Artec.Micro,43.61,106.25,TRUE
CTC_925,Artec.Micro,12.41,40.9,TRUE
CTC_926,Artec.Micro,56.94,121.04,TRUE
CTC_927,Artec.Micro,80.51,151.4,TRUE
CTC_928,Artec.Micro,99.16,182.6,TRUE
CTC_929,Artec.Micro,13.35,45.78,TRUE
CTC_93,Artec.Spider,11236,3014.3,TRUE
CTC_930,Artec.Micro,38.5,108.92,TRUE
CTC_931,Artec.Micro,37.1,90.02,TRUE
CTC_932,Artec.Micro,57.53,153.78,TRUE
CTC_933,Artec.Micro,47.25,112.88,TRUE
CTC_934,Artec.Micro,6.95,36.24,TRUE
CTC_935,Artec.Micro,57.28,145.49,TRUE
CTC_936,Artec.Micro,41.2,110.27,TRUE
CTC_937,Artec.Micro,31.54,88.62,TRUE
CTC_938,Artec.Micro,37.6,119.66,TRUE
CTC_939,Artec.Micro,41.43,120.74,TRUE
CTC_94,Artec.Spider,3538.15,1423.68,TRUE
